barrier_key,barrier_name,layer,shapley_value,shapley_pct,attribution_pct
legal_knowledge,Legal Knowledge Gap,institutional,0.10945417416501561,10.945417416501561,10.945614539767952
rapid_transmission,Rapid Data Transmission,data_integration,0.10719520247999069,10.71952024799907,10.719713302933846
systemic_bias,Systemic Bias in Algorithms,institutional,0.10529798793384061,10.529798793384062,10.529988431499595
incomplete_propagation,Incomplete Correction Propagation,data_accuracy,0.10102377314159103,10.102377314159103,10.102559254558331
awareness_gap,Awareness Gap,institutional,0.09674207062703757,9.674207062703758,9.674381291901547
error_detection,Error Detection Difficulty,data_accuracy,0.09527054551312193,9.527054551312194,9.527226130343012
correction_process,Correction Process Barriers,data_accuracy,0.09208365584823426,9.208365584823426,9.208531424373726
legal_resources,Legal Resource Barriers,institutional,0.08503707241335018,8.503707241335018,8.503860390226837
permanent_storage,Permanent Storage,data_integration,0.07789649347101853,7.789649347101853,7.789789636052462
record_access,Record Access Barriers,institutional,0.06784992204859673,6.784992204859673,6.7851144002748836
multi_system_integration,Multi-System Integration,data_integration,0.06213109302070309,6.213109302070309,6.213221198067827
